id;name;surname;age;group;gpa
63;An;Torre;19;4 B;2.67
64;Ala;War;11;1 E;2.29
65;Ad;Lewi;19;1 D;4.61
66;Ange;Rya;16;5 A;2.34
67;Kimberl;Gree;14;11 E;4.23
68;Sophi;Robinso;9;5 A;3.4
69;Aver;Patterso;11;4 C;2.49
70;Devi;Web;13;10 D;3.99
71;Adria;Moor;10;4 F;2.18
72;Sofi;Robinso;13;4 E;2.17
73;Ala;Woo;17;11 E;4.03
74;Samue;Wes;11;4 C;4.45
75;Stanle;Butle;12;8 C;4.83
76;Devi;Gree;9;1 D;2.16
77;Ameli;Carte;19;3 F;3.49
78;Amand;Butle;17;2 B;4.2
79;Audre;Nichol;13;5 A;3.7
80;Davi;Mitchel;17;2 A;3.12
81;Alyss;War;11;4 E;4.67
82;Kyli;Rui;18;2 A;3.81
83;Ariann;Youn;18;6 B;2.75
84;Autum;Watso;10;5 B;2.0
85;Savanna;Castill;10;1 D;2.02
86;Samue;Garci;15;8 C;3.71
87;Ange;Dia;16;8 C;4.34
88;Alex;Steven;12;4 C;2.77
89;Alber;Stewar;10;1 E;3.87
90;Katherin;Alexande;16;8 C;4.29
91;Kayl;Hal;16;1 E;2.41
92;Av;Woo;19;7 D;3.65
93;Donal;Nichol;11;4 C;2.14
94;Alejandr;Rya;14;11 E;4.71
95;Agath;Blac;20;3 F;3.99
96;Ada;Herrer;10;3 D;4.14
97;Ala;Fishe;20;4 E;4.01
98;Ada;Hick;9;5 B;2.87
99;Anit;Ree;13;7 D;4.52
100;Kayl;Dixo;19;11 C;3.0
101;Savanna;Murra;19;3 D;3.86
102;Sierr;Gibso;20;4 E;3.35
103;Ala;Parke;11;4 B;3.59
104;Alexi;Wes;17;2 D;3.69
105;Sheil;Fo;16;11 E;2.77
106;Stanle;Chave;9;6 B;2.1
107;Stephani;Henr;10;4 E;4.95
108;Ale;Nichol;16;9 A;4.98
109;An;Morri;17;7 D;4.05
110;Sybi;Brook;13;6 B;4.78
111;Audre;Blac;11;4 C;4.45
112;Andre;Marti;15;5 B;4.26
113;Arian;Dixo;13;4 B;4.52
114;Alejandr;Wes;15;2 B;2.22
115;Alyss;Wagne;17;7 D;2.93
116;Sebastia;Robinso;19;5 A;3.14
117;Donal;Thompso;12;4 B;3.19
118;Donal;Schmid;14;9 A;2.53
119;Ala;Adam;19;3 F;4.03
120;Anthon;Bel;9;4 C;2.34
121;Sandr;Brook;12;7 D;3.16
122;Kayl;Co;18;11 F;2.69
123;Dougla;Ramo;18;1 D;4.53
124;Ashto;Meye;10;9 A;2.02
125;Denni;Reynold;18;8 C;3.68
126;An;Gonzale;14;1 E;2.1
127;Antoni;Freema;15;5 B;2.83
128;Set;Alvare;12;1 D;2.72
129;Sara;Carte;13;4 C;2.88
130;Alexandr;Richardso;16;10 D;4.12
131;Sybi;Brook;14;5 A;3.31
132;Sierr;Torre;9;10 D;2.61
133;Adria;Kenned;20;11 C;4.33
134;Anit;Harri;18;8 C;2.73
135;Av;Wrigh;14;5 A;4.8
136;Anthon;Rui;20;7 D;4.85
137;Denni;Wood;15;3 F;2.63
138;Alexandr;Lewi;18;1 D;3.51
139;Anit;Henderso;9;9 A;3.15
140;Dieg;Robertso;16;11 C;4.19
141;Abraha;Dixo;17;7 D;2.21
142;Ashto;Washingto;20;4 F;3.25
143;Anit;Jackso;11;5 A;2.08
144;Stephani;Jorda;10;10 D;4.31
145;Kayl;Bel;18;2 B;3.96
146;Anthon;Edward;18;2 D;4.14
147;Amand;Mitchel;10;3 D;4.47
148;Sea;Lon;16;7 D;3.45
149;Sea;Evan;10;4 C;3.97
150;Autum;Porte;16;5 A;4.77
151;Alexandr;Woo;17;7 D;4.8
152;Agath;Henderso;13;9 A;2.83
153;Domini;Edward;9;2 B;2.54
154;Kimberl;Henr;13;3 D;2.64
155;Dieg;Ree;13;4 E;2.44
156;Aida;Pric;10;2 B;2.6
157;Sara;Co;20;8 C;2.9
158;Sar;Colema;19;6 B;3.33
159;Anthon;Chave;13;8 C;3.76
160;Set;Steven;16;4 E;4.13
161;Stanle;Moor;18;4 E;4.54
162;Ada;Ros;11;3 D;4.58
163;Set;Robertso;9;4 F;3.47
164;Adria;Taylo;14;10 D;4.2
165;Kathry;Smit;12;4 C;2.34
166;Samue;Alvare;16;7 D;2.21
167;Alejandr;Gordo;11;4 E;4.97
168;Agath;Gree;12;11 E;2.48
169;Denni;Warre;10;2 A;3.23
170;Alejandr;Phillip;18;11 F;2.26
171;Ala;Hal;12;4 F;4.29
172;Stephani;Lope;13;3 D;2.7
173;Autum;Hick;17;5 A;2.01
174;Savanna;Lewi;17;2 A;4.28
175;Dougla;Co;13;5 A;4.87
176;Kathry;Alexande;14;4 E;2.03
177;Antoni;Baile;20;11 E;2.48
178;Alyss;Butle;11;7 D;4.07
179;Ashto;Thoma;14;2 A;3.38
180;Sophi;Jimene;17;8 C;2.56
181;Alexandr;Gree;17;11 F;3.65
182;Ala;Holme;9;4 F;3.98
183;Denni;Lewi;18;9 A;2.57
184;Kimberl;Wallac;20;2 B;4.05
185;Ariann;Reynold;19;4 C;2.16
186;Ariann;Phillip;10;2 A;3.44
187;Ariann;Owen;17;11 F;2.99
188;Samue;Nelso;13;7 D;4.2
189;Aaro;Patterso;9;3 D;4.43
190;Dieg;Pate;11;5 A;3.98
191;Samue;Morri;12;2 D;3.71
192;Ad;Web;17;1 D;3.83
193;Ale;Marti;9;7 D;3.09
194;Sharo;Simmon;12;2 D;3.02
195;Sar;Hunte;20;6 B;4.53
196;Kimberl;Wallac;12;9 A;3.06
197;Adria;Bake;9;4 E;2.1
198;Ala;Jenkin;20;6 B;2.11
199;Alexandr;Burn;14;9 A;2.47
200;Denni;Castill;15;11 F;4.9
201;Agath;Anderso;15;4 C;3.63
202;Ad;Reynold;15;11 E;4.18
203;Sheil;Burn;11;4 F;3.26
204;Alexandr;Bel;16;4 C;3.75
205;Sybi;Sulliva;11;3 F;2.88
206;Savanna;Alvare;20;5 A;2.57
207;Amand;Edward;17;2 D;4.28
208;Ange;Gra;15;11 E;3.27
209;Alliso;Ki;14;8 C;3.23
210;Sar;Powel;19;5 A;4.26
211;Aver;Tucke;10;11 E;2.96
212;Domini;Hil;18;8 C;3.51
213;Alyss;Thoma;14;7 D;4.45
214;Sandr;Whit;15;5 A;3.68
215;Antoni;Myer;15;5 A;4.33
216;Alyss;Reye;11;7 D;4.41
217;Stanle;Brook;17;4 C;4.58
218;Alber;Pric;13;4 F;4.81
219;Sierr;Blac;10;4 F;2.99
220;Austi;Haye;9;11 F;3.31
221;Av;Carte;11;11 C;2.07
222;Denni;Anderso;12;4 B;4.88
223;Alfre;Gonzale;9;8 C;4.8
224;Susa;Taylo;20;4 E;4.96
225;Danie;Parke;15;8 C;3.48
226;Ashle;Ramire;10;4 B;3.44
227;Set;William;20;4 F;4.97
228;Alis;Robinso;11;6 B;3.03
229;Sierr;Olso;13;7 D;4.18
230;Sheil;Johnso;14;4 B;4.97
231;Av;Harri;12;8 C;3.05
232;Ashle;Sander;19;11 C;3.53
233;Shirle;Nguye;17;8 C;3.58
234;Alyss;Boy;17;4 B;4.38
235;Sara;Mill;11;11 F;3.18
236;Sheil;Hughe;20;4 B;2.31
237;Sierr;Hamilto;16;7 D;4.25
238;Alexandr;Gordo;16;4 E;2.67
239;Kyli;Robertso;11;7 D;3.83
240;Shirle;Rya;15;8 C;2.57
241;Domini;Youn;16;8 C;3.64
242;Ala;Gibso;14;1 E;4.4
243;Sheil;Thompso;17;6 B;4.24
244;Alejandr;Tucke;18;4 C;3.68
245;Arian;Evan;9;2 A;2.85
246;Sharo;Wilso;13;2 D;2.8
247;Ange;Morga;18;9 A;2.24
248;Kately;Ros;11;1 D;2.5
249;Simo;Fo;11;2 A;2.99
250;Ashto;Chave;16;8 C;4.69
251;Adelin;Boy;14;5 A;4.38
252;Donal;Ros;10;4 C;3.05
253;Arian;Rya;10;9 A;4.04
254;Stephani;Hunte;18;3 F;4.86
255;Donal;Walke;17;7 D;4.14
256;Autum;Ros;12;2 A;2.97
257;Austi;Crawfor;19;8 C;3.8
258;Anit;Colema;20;4 E;2.29
259;Sierr;Mille;13;2 D;4.79
260;Ale;Mitchel;9;3 D;4.24
261;Alfre;Well;10;2 D;2.5
262;Alis;Brook;14;11 F;4.95
263;Sebastia;Davi;12;4 E;2.13
264;Dieg;Peterso;15;11 F;3.52
265;Aver;Gra;14;11 F;3.82
266;Dieg;Hal;9;1 D;4.58
267;Ashle;Morri;9;8 C;3.13
268;Alejandr;Bake;14;9 A;2.68
269;Ala;Henderso;14;8 C;4.05
270;Katherin;Owen;14;4 F;4.5
271;Antoni;Howar;19;2 A;4.44
272;Devi;Johnso;16;7 D;3.87
273;Av;Gibso;20;5 A;4.16
274;Agath;Steven;10;2 D;4.7
275;Alexi;Parke;10;3 F;3.15
276;Agath;Hun;18;2 D;3.27
277;Sandr;Scot;20;3 F;4.54
278;An;Martine;10;4 F;2.59
279;Ashle;Kell;16;8 C;3.95
280;Kayle;McDonald (Mcdonald*;9;4 C;2.6
281;Danie;Steven;10;11 E;4.29
282;Alfre;Schmid;9;1 D;4.7
283;Kimberl;Powel;15;4 E;3.86
284;Samue;Nichol;14;4 B;3.44
285;Sara;Robertso;16;5 A;4.98
286;Arian;Jackso;15;4 E;2.08
287;Kyli;Elli;20;4 C;3.12
288;Ashto;Jone;9;4 E;4.24
289;Anthon;Maso;18;5 B;3.58
290;Ariann;River;19;4 F;3.34
291;Dougla;Walke;20;4 C;4.73
292;Alexi;Perr;10;6 B;2.89
293;Antoni;Co;10;5 A;3.61
294;Aver;Bryan;11;2 D;3.6
295;Danie;Simmon;10;2 A;2.87
296;Aida;Carte;15;7 D;4.22
297;Ashto;Boy;19;4 E;3.49
298;Sierr;Morale;15;3 F;4.68
299;Kayl;Ferguso;18;4 C;3.88
300;Alyss;Edward;19;11 E;4.18
301;Sophi;Rya;10;7 D;2.47
302;Donal;Sander;18;1 E;2.58
303;Amand;Thoma;10;4 F;4.65
304;Sophi;Mitchel;9;5 A;2.15
305;Sophi;William;11;8 C;3.91
306;Ambe;Jone;10;7 D;3.82
307;Ashto;Rodrigue;10;11 C;4.87
308;Ada;Nichol;19;1 E;2.3
309;Arian;Rodrigue;15;3 D;4.98
310;Simo;Marshal;9;3 D;4.85
311;Aida;Murph;18;4 C;2.49
312;Ada;Foste;15;4 C;3.29
313;Sar;Bel;17;8 C;4.22
314;Simo;Jone;15;2 D;2.99
315;Domini;Reye;16;2 B;4.3
316;Alber;Foste;10;3 D;2.02
317;Samue;Ramire;11;8 C;4.56
318;Kimberl;Ferguso;19;4 B;2.93
319;Ad;Robinso;17;1 E;2.61
320;Alexande;Warre;11;1 E;3.86
321;Domini;Gibso;11;8 C;4.6
322;Sierr;Fishe;16;7 D;4.76
323;Kathry;Dia;11;11 F;4.27
324;Ale;Ramo;9;2 A;3.71
325;Alfre;Mille;20;8 C;3.01
326;Ale;Barne;16;11 F;3.38
327;Austi;Haye;15;9 A;4.11
328;Alejandr;Mendoz;16;11 E;3.45
329;Alyss;Bryan;13;2 A;4.65
330;Kimberl;Woo;12;6 B;2.52
331;Amand;Sander;10;6 B;4.9
332;Domini;Carte;14;7 D;2.25
333;Kathry;McDonald (Mcdonald*;11;6 B;3.16
334;Andre;Vasque;20;1 E;2.25
335;Ameli;Web;20;8 C;4.57
336;Aida;William;13;5 B;4.54
337;Donal;Crawfor;16;1 E;4.69
338;Abraha;Morri;12;4 B;2.24
339;Amand;Collin;15;1 E;4.25
340;Alexande;Gonzale;15;11 F;2.33
341;Aver;Davi;14;7 D;2.6
342;Kyli;Jenkin;14;4 B;3.98
343;Alexandr;Harri;12;11 E;2.71
344;Dieg;Graha;15;10 D;4.42
345;Amand;Romer;11;5 A;4.64
346;Adelin;Gome;13;10 D;4.33
347;Shirle;Castill;17;4 B;3.06
348;Danie;Olso;19;4 E;2.71
349;Anthon;Johnso;15;1 D;2.35
350;Kayl;Reynold;17;9 A;3.07
351;Aver;Jame;17;4 B;3.57
352;Kately;Kin;12;10 D;4.62
353;Donal;Porte;9;5 A;3.22
354;Aida;Foste;16;6 B;3.64
355;Alyss;Bennet;16;3 D;2.14
356;Austi;Mendoz;20;7 D;3.88
357;Donal;Hick;12;11 C;3.47
358;Kyli;Holme;9;11 F;3.07
359;Alex;Porte;20;7 D;2.37
360;Ad;Warre;19;3 D;4.88
361;Abraha;Mille;12;3 D;4.29
362;Ange;Fishe;11;4 B;2.62
363;Sophi;Stewar;15;7 D;3.46
364;Antoni;Lewi;20;4 C;2.3
365;Alex;Robertso;17;4 B;2.91
366;Sheil;Warre;14;1 E;2.4
367;Savanna;Col;11;4 B;3.1
368;Audre;Vasque;13;3 F;2.91
369;Sophi;Rui;20;4 E;2.02
370;Sybi;Howar;10;11 E;3.5
371;Ad;Robertso;10;5 A;4.39
372;Alexande;Wood;10;4 E;2.63
373;Autum;Kell;19;10 D;4.7
374;Arian;Ros;12;4 B;4.97
375;Alejandr;Ros;20;2 A;3.24
376;Audre;Gonzale;19;5 A;2.84
377;Kately;Sha;20;5 B;4.02
378;Ad;Herrer;9;2 B;3.57
379;Aaro;Gordo;15;4 E;2.3
380;Ambe;Nelso;18;2 D;3.87
381;Ashle;Reye;18;9 A;2.3
382;Ange;Ros;13;4 E;2.31
383;Andre;Orti;16;11 E;3.95
384;Anit;Evan;9;8 C;3.85
385;Sheil;Web;13;8 C;2.32
386;Sara;Scot;18;8 C;3.87
387;Stephani;Gree;16;9 A;4.54
388;Ashle;Moor;9;5 B;2.49
389;Kyli;Medin;12;6 B;2.9
390;Adelin;Ston;14;1 E;3.8
391;Sebastia;Washingto;20;4 C;3.69
392;Kayle;For;17;5 B;2.89
393;Ashto;Jone;20;2 B;2.96
394;Kyli;Peterso;13;11 F;2.37
395;Autum;Wallac;17;7 D;3.24
396;Samue;Harriso;10;11 C;4.46
397;Kately;Adam;16;2 B;2.8
398;Alis;Stewar;15;2 D;3.91
399;Ada;Brow;12;5 A;4.97
400;Sara;Alle;13;3 F;3.82
401;Susa;Jame;15;10 D;3.22
402;Devi;Ros;20;9 A;4.36
403;Domini;Nguye;13;5 A;2.11
404;Sar;Moor;18;11 C;4.9
405;Alis;Youn;17;11 E;4.05
406;Sofi;Watso;14;4 C;3.74
407;Savanna;Reye;18;4 C;4.22
408;Sheil;Gome;18;11 C;2.26
409;Sebastia;Hernande;16;7 D;3.67
410;An;Jorda;12;11 E;2.94
411;Arian;Carte;14;1 D;4.53
412;Davi;Ree;17;11 F;2.89
413;Audre;Gutierre;11;8 C;4.12
414;Kayl;Ric;17;11 C;2.32
415;Anit;For;16;5 A;4.42
416;Sar;Lewi;11;3 F;3.17
417;Ashto;Brow;12;3 D;2.96
418;Danie;Jackso;19;1 E;3.35
419;Samue;Peterso;18;2 B;3.27
420;Alber;Boy;18;4 C;2.47
421;Savanna;Phillip;9;4 E;2.86
422;Sheil;Jenkin;13;4 E;4.15
423;Denni;Thompso;9;10 D;4.03
424;Kayle;Clar;14;5 A;2.46
425;Aver;Lope;17;8 C;2.74
426;Aver;Ric;14;4 F;2.74
427;Stanle;Wilso;10;7 D;4.88
428;Ariann;Myer;9;2 D;4.42
429;Av;Robinso;11;2 B;4.22
430;Aaro;Peterso;14;5 A;2.12
431;Adelin;Bake;13;2 A;3.72
432;Kayl;Hunte;13;3 F;3.61
433;Sierr;Wood;10;2 A;2.66
434;Ange;Clar;20;3 F;2.98
435;Stephani;Stewar;18;11 F;3.92
436;Ada;Wilso;11;8 C;4.93
437;Adria;Sha;10;4 E;3.6
438;Samue;Powel;18;5 A;3.15
439;Susa;Maso;20;10 D;4.14
440;Dieg;Turne;18;9 A;3.41
441;Sea;Gree;12;1 E;2.67
442;Katherin;Pere;13;1 D;4.72
443;Sybi;Stewar;10;7 D;3.16
444;Sofi;Baile;19;9 A;3.58
445;Kayl;Sha;17;5 A;3.99
446;Aaro;Hal;9;3 D;4.93
447;Stephani;Peterso;9;5 A;3.6
448;Danie;Ramo;13;2 B;2.37
449;Ad;Butle;18;5 A;4.1
450;Ale;Hal;19;4 B;3.72
451;Arian;Jone;12;8 C;2.24
452;Adria;Gonzale;13;7 D;3.94
453;Sara;Edward;18;3 D;2.44
454;Dougla;Co;20;3 F;4.73
455;Alexande;Bel;13;11 C;4.95
456;Alex;Boy;16;9 A;3.21
457;Alfre;Sulliva;11;8 C;3.37
458;Antoni;Snyde;19;3 F;2.63
459;Ala;Haye;16;11 E;2.39
460;Sophi;Lewi;10;7 D;3.68
461;Alyss;Hun;10;4 E;4.08
462;Ariann;Wood;18;4 B;3.33
463;Austi;Alvare;9;4 F;3.53
464;Andre;Lewi;15;3 D;2.32
465;Sar;Ston;12;8 C;4.3
466;Kathry;Jimene;17;4 B;2.58
467;Audre;Wallac;14;1 D;4.56
468;Agath;Chave;11;11 E;3.81
469;Anthon;Kin;18;4 C;2.31
470;Autum;Hernande;11;2 A;3.43
471;Anthon;Elli;20;10 D;3.36
472;Adelin;Alexande;17;2 B;4.97
473;Alejandr;Peterso;18;11 C;4.38
474;Ashto;Henr;20;2 D;2.98
475;Anit;Robertso;20;10 D;2.72
476;Alis;Lon;20;3 F;4.15
477;Ad;Wagne;20;7 D;2.29
478;Davi;Woo;19;5 A;4.62
479;Audre;Hamilto;9;5 B;4.38
480;Sofi;Castill;17;1 E;4.85
481;Kimberl;Turne;12;3 F;3.14
482;Sharo;Campbel;15;1 D;4.4
483;Alliso;Turne;15;7 D;4.04
484;Kathry;Fo;20;5 A;3.26
485;Aida;Robinso;14;4 F;2.75
486;Ada;Ric;16;1 E;3.02
487;Sharo;Perr;20;8 C;2.51
488;Ashle;Warre;15;7 D;2.01
489;Dougla;Kenned;12;1 D;2.41
490;Samue;Well;14;5 A;2.54
491;Sara;Romer;12;2 A;3.7
492;Sebastia;Gra;9;3 D;4.33
493;Simo;Pere;12;4 F;3.07
494;Kayle;Myer;17;4 F;4.79
495;Angelin;Porte;17;1 E;2.08
496;An;Gutierre;15;10 D;2.47
497;Kately;Kenned;19;2 B;4.78
498;Alexi;Vasque;13;4 E;4.37
499;Sophi;Moor;9;5 B;2.6
